iter	Passed	Remaining
975	5879	144
976	5884	138
977	5890	132
978	5896	126
979	5901	120
980	5907	114
981	5912	108
982	5918	102
983	5923	96
984	5928	90
985	5934	84
986	5939	78
987	5945	72
988	5951	66
989	5956	60
990	5962	54
991	5967	48
992	5973	42
993	5979	36
994	5985	30
995	5990	24
996	5997	18
997	6002	12
998	6008	6
999	6014	0
